ix_key,V_x,V_y,blockKey,side,span_vertex_count,probe_mid_x,probe_mid_y,probe_normal_x,probe_normal_y,probe_path_len_m,probe_steps,probe_null_reason,alley_class,feature_highway,feature_name,feature_distance,feature_source
"646.60,-461.30",646.60,-461.30,"677.5,-465.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"655.30,-696.70",655.30,-696.70,"652.0,-627.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"658.20,-552.30",658.20,-552.30,"55.0,-767.0",prev,122,641.05,-834.71,0.625,-0.781,29.00,15,bestDist=53.2>30,truly_void,,,358.69,
"668.40,-205.40",668.40,-205.40,"684.5,-98.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"668.40,-205.40",668.40,-205.40,"730.5,-252.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"668.40,-205.40",668.40,-205.40,"730.5,-252.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"670.30,-556.60",670.30,-556.60,"680.0,-504.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"677.20,-492.40",677.20,-492.40,"677.5,-465.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"677.20,-492.40",677.20,-492.40,"677.5,-465.0",prev,1,,,,,0,0,span-length<2 (never probed),degenerate_span,,,,
"690.90,-449.90",690.90,-449.90,"677.5,-465.0",next,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
"690.90,-449.90",690.90,-449.90,"677.5,-465.0",prev,17,,,,,0,0,"flank-is-arc (adjacent corner, no straight between)",adjacent_arc_span,,,,
