blockKey,cornerPt_x,cornerPt_z,V_x,V_z,theta_deg,R,R_authored,tl_A,sw_A,tl_B,sw_B,d_A,d_B,diff,ratio,regime,cuspFired,arcLen,rampLen,rampRatio,tlRings,swRings,aspRings,concentric,dropTreeLawn,selfInt,aChain,aSide,bChain,bSide,nArcVerts,nPrevStraightVerts,nNextStraightVerts,fbFound
"117.5,-299.0",33.72,-427.43,29.30,-434.90,90.7,3.40,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.30,,,0,1,0,0,0,0,,,Mackay Place,right,17,4,0,1
"117.5,-299.0",272.48,-351.74,284.80,-353.90,92.5,3.51,no,,,,,,,,,NEITHER-EMITTED,0,5.35,,,0,0,0,0,0,0,,,,,17,0,1,0
"730.5,-252.0",758.82,-188.53,766.10,-180.20,91.1,4.50,no,,,,,,,,,NEITHER-EMITTED,0,6.98,,,0,0,0,0,0,0,,,,,17,1,0,0
"730.5,-252.0",672.00,-210.93,668.40,-205.40,89.0,4.50,no,,,,,,,,,NEITHER-EMITTED,0,7.14,,,0,0,0,0,0,0,,,,,17,0,0,0
"730.5,-252.0",700.90,-315.58,700.30,-320.90,90.8,4.50,no,,,,,,,,,NEITHER-EMITTED,0,7.00,,,0,0,0,0,0,0,,,,,17,0,1,0
"-665.5,-256.5",-579.66,-199.32,-575.20,-192.30,90.9,3.42,no,0.00,1.52,,,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.31,,,0,1,1,0,0,0,Saint Vincent Avenue,left,,,17,1,3,1
"-665.5,-256.5",-765.97,-230.13,-772.90,-225.00,89.6,3.34,no,,,0.00,1.52,1.91,1.91,0.00,1.00,SYM-NO-RAMP,0,5.27,,,0,1,0,0,0,0,,,Saint Vincent Avenue,left,17,3,0,1
"-665.5,-256.5",-751.82,-313.27,-756.70,-320.20,90.6,3.40,no,,,,,,,,,NEITHER-EMITTED,0,5.30,,,0,0,0,0,0,0,,,,,17,0,0,0
"-665.5,-256.5",-565.06,-283.40,-558.50,-288.50,90.0,3.36,no,,,,,,,,,NEITHER-EMITTED,0,5.28,,,0,0,0,0,0,0,,,,,17,0,1,0
"372.5,-272.5",452.27,-199.72,453.60,-197.00,87.7,3.24,no,,,,,,,,,NEITHER-EMITTED,0,5.22,,,0,0,0,0,0,0,,,,,17,1,0,0
"372.5,-272.5",269.24,-257.93,259.60,-258.70,93.1,3.54,no,,,,,,,,,NEITHER-EMITTED,0,5.37,,,0,0,0,0,0,0,,,,,17,0,1,0
"372.5,-272.5",292.38,-345.42,284.80,-353.90,87.5,3.23,no,,,,,,,,,NEITHER-EMITTED,0,5.22,,,0,0,0,0,0,0,,,,,17,1,0,0
"372.5,-272.5",475.67,-287.29,479.00,-292.30,93.4,3.56,no,,,,,,,,,NEITHER-EMITTED,0,5.38,,,0,0,0,0,0,0,,,,,17,0,1,0
"-75.0,-320.5",-50.94,-215.88,-48.00,-203.90,99.2,3.96,no,,,,,,,,,NEITHER-EMITTED,0,5.58,,,0,0,0,0,0,0,,,,,17,1,1,0
"-75.0,-320.5",-160.40,-233.34,-166.10,-222.70,89.0,4.50,no,,,,,,,,,NEITHER-EMITTED,0,6.98,,,0,0,0,0,0,0,,,,,17,1,0,0
